Orden,Sitios,Gobierno_local,codigo,Fecha,Mes,Año,Año-mes,Campaña-Año,Campaña,Tem_agua,Tem_aire,OD,pH,Turbiedad_NTU,Olores,Color,Espumas,Mat_susp,colif_totales_ufc_100ml,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,Nitrato_mg_l,NH4_mg_l,P_de_ortof_mg_l,P_total_l_mg_l,DQO_mg_l,DBO_mg_l,Fosf_ortofos_mg_l,solidos_totales_mg_l,Hidr_Deriv_Petr_ug_l,Cr_total_mg_l,Cd_total_mg_l,Microcistina_ug_l,Clorofila_a_ug_l,ICA,Calidad_de_agua
159,POLO PETROQUIMICO DOCK SUD,Avellaneda,AV051,26/03/2014,3,2014,03-2014,01-2014,verano,0.00,22.70,9.72,7.25,0,,,,,4300,4300,300,,4.5,9.74,0,0,37,,0,,,,,,,0,
176,Berisso – Calle 66,Berisso,BS095,26/03/2014,3,2014,03-2014,01-2014,verano,25.00,21.60,5.73,7.70,0,,,,,300,300,300,,3.8,9.43,0,0,38,,0,,,,,,,0,
29,Berazategui - Puerto Trinidad (BZ 077),Berazategui,BZ077,29/08/2013,8,2013,08-2013,03-2013,invierno,10,12,0.8,7.9,0,,,,,4900000,1100000,0,,2.17,9.17,0,0,72,,0,,,,,,,0,
143,RIO LUJAN y CANAL SAN FERNANDO,Tigre,TI007,26/03/2014,3,2014,03-2014,01-2014,verano,0.00,22.00,3.12,8.13,0,,,,,4300,4300,300,,2.6,8.99,0,0,39,,0,,,,,,,0,
150,Playa Espigón de Pacheco,San Isidro,SI024,26/03/2014,3,2014,03-2014,01-2014,verano,24.00,22.00,08.04,7.85,0,,,,,460,240,300,,13.1,8.93,0,0,34,,0,,,,,,,0,
10,Del Arca,San Fernando,SF015,28/08/2013,8,2013,08-2013,03-2013,invierno,0,0,0.5,7.9,0,,,,,240000,91800,91800,,5.81,8.59,0,0,45,,0,,,,,,,0,
34,ARROYO DEL GATO,Ensenada,EN083,28/08/2013,8,2013,08-2013,03-2013,invierno,15,12,0.5,7.7,0,,,,,310000,80000,0,,3.04,7.77,0,0,75,,0,,,,,,,0,
2,CANAL ALIVIADOR 100 MTS R LUJAN,Tigre,TI002,28/08/2013,8,2013,08-2013,03-2013,invierno,0,10.6,0.5,7.5,0,,,,,542000,34800,34800,,3.61,7.47,0,0,48,,0,,,,,,,0,
4,RIO RECONQUISTA Y RIO LUJAN,Tigre,TI004,28/08/2013,8,2013,08-2013,03-2013,invierno,0,10.3,0.8,7.5,0,,,,,1090000,91800,91800,,10.97,7.29,0,0,41,,0,,,,,,,0,
13,Perú Puente,San Isidro,SI023,28/08/2013,8,2013,08-2013,03-2013,invierno,0,0,0.5,7.4,0,,,,,9180000,1609000,1609000,,9.85,6.35,0,0,125,,0,,,,,,,0,
162,ESCOLLERA DE PROPANEROS,Avellaneda,AV054,26/03/2014,3,2014,03-2014,01-2014,verano,0.00,23.80,3.75,7.35,0,,,,,4300,4300,700,,13.7,5.92,0,0,60,,0,,,,,,,0,
25,PEJERREY,Quilmes,QU063,28/08/2013,8,2013,08-2013,03-2013,invierno,0,9,0.5,7.9,0,,,,,90000,70000,0,,24.54,5.75,0,0,75,,0,,,,,,,0,
5,RIO RECONQUISTA Y RIO LUJAN,Tigre,TI004,22/11/2017,11,2017,11-2017,04-2017,primavera,0,0,6.83,7,3.5,,,,,150000,16400,9200,,3.37,5.44,0,0.7,27,20,2,234,50,6,2,0,,0,
23,CALLE ESPORA,Quilmes,QU061,28/08/2013,8,2013,08-2013,03-2013,invierno,0,9,0.5,7.9,0,,,,,6300000,700000,0,,11.56,5.39,0,0,82,,0,,,,,,,0,
7,RIO LUJAN y CANAL SAN FERNANDO,Tigre,TI007,22/11/2017,11,2017,11-2017,04-2017,primavera,0,0,5.98,6.8,7.6,,,,,156000,15000,14000,,3.68,5.22,0,0.67,24,10,1,317,137,6,2,0,,0,
35,CAMPING EVA PERON,Ensenada,EN081,28/08/2013,8,2013,08-2013,03-2013,invierno,15,11,0.8,8.1,0,,,,,9000,5000,0,,11.46,5.15,0,0,53,,0,,,,,,,0,
20,CLUB DE PESCA = PUNTA CARRASCO,CABA,CA046,22/11/2017,11,2017,11-2017,04-2017,primavera,20,0,3,7.5,46,,,,,123000,80000,80000,,14,5.14,0,354,25,9,0,206,,0.02,2,,,0,
